route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
9948,1,6174384,the Richmond District,0,111,121436
9948,1,6174382,the Richmond District,0,110,121436
9948,1,6174381,the Richmond District,0,109,121436
9948,1,6174380,the Richmond District,0,108,121436
9948,1,6174379,the Richmond District,0,107,121436
9948,1,6174420,the Richmond District,0,101,121436
9948,1,6174392,the Richmond District,0,106,121436
9948,1,6174391,the Richmond District,0,105,121436
9948,1,6174390,the Richmond District,0,104,121436
9948,1,6174389,the Richmond District,0,102,121436
9948,1,6174388,the Richmond District,0,103,121436
9948,1,6174387,the Richmond District,0,101,121436
9948,3,6175150,the Richmond District,0,113,121437
9948,3,6175186,the Richmond District,0,112,121437
9948,3,6175160,the Richmond District,0,111,121437
9948,3,6175165,the Richmond District,0,110,121437
9948,3,6175169,the Richmond District,0,109,121437
9948,3,6175172,the Richmond District,0,108,121437
9948,3,6175157,the Richmond District,0,107,121437
9948,3,6175177,the Richmond District,0,106,121437
9948,3,6175180,the Richmond District,0,105,121437
9948,3,6175182,the Richmond District,0,104,121437
9948,3,6175183,the Richmond District,0,103,121437
9948,3,6175184,the Richmond District,0,102,121437
9948,3,6175185,the Richmond District,0,101,121437
9948,2,6174904,the Richmond District,0,113,121437
9948,2,6174940,the Richmond District,0,112,121437
9948,2,6174914,the Richmond District,0,111,121437
9948,2,6174919,the Richmond District,0,110,121437
9948,2,6174923,the Richmond District,0,109,121437
9948,2,6174926,the Richmond District,0,108,121437
9948,2,6174911,the Richmond District,0,107,121437
9948,2,6174931,the Richmond District,0,106,121437
9948,2,6174934,the Richmond District,0,105,121437
9948,2,6174936,the Richmond District,0,104,121437
9948,2,6174937,the Richmond District,0,103,121437
9948,2,6174938,the Richmond District,0,102,121437
9948,2,6174939,the Richmond District,0,101,121437
9948,1,6174444,the Richmond District,0,122,121437
9948,1,6174443,the Richmond District,0,116,121437
9948,1,6174442,the Richmond District,0,114,121437
9948,1,6174440,the Richmond District,0,113,121437
9948,1,6174441,the Richmond District,0,112,121437
9948,1,6174439,the Richmond District,0,111,121437
9948,1,6174438,the Richmond District,0,110,121437
9948,1,6174437,the Richmond District,0,109,121437
9948,1,6174436,the Richmond District,0,108,121437
9948,1,6174435,the Richmond District,0,107,121437
9948,1,6174434,the Richmond District,0,106,121437
9948,1,6174433,the Richmond District,0,105,121437
9948,1,6174432,the Richmond District,0,104,121437
9948,1,6174431,the Richmond District,0,102,121437
9948,1,6174430,the Richmond District,0,103,121437
9948,1,6174429,the Richmond District,0,101,121437
9948,3,6175191,California & Presidio Ave,1,108,121438
9948,3,6175190,California & Presidio Ave,1,101,121438
9948,3,6175192,California & Presidio Ave,1,106,121438
9948,3,6175193,California & Presidio Ave,1,102,121438
9948,3,6175208,California & Presidio Ave,1,104,121438
9948,3,6175211,California & Presidio Ave,1,113,121438
9948,3,6175215,California & Presidio Ave,1,107,121438
9948,3,6175219,California & Presidio Ave,1,109,121438
9948,3,6175222,California & Presidio Ave,1,112,121438
9948,3,6175225,California & Presidio Ave,1,111,121438
9948,3,6175229,California & Presidio Ave,1,110,121438
9948,2,6174945,California & Presidio Ave,1,108,121438
9948,2,6174944,California & Presidio Ave,1,101,121438
9948,2,6174946,California & Presidio Ave,1,106,121438
9948,2,6174947,California & Presidio Ave,1,102,121438
9948,2,6174962,California & Presidio Ave,1,104,121438
9948,2,6174965,California & Presidio Ave,1,113,121438
9948,2,6174969,California & Presidio Ave,1,107,121438
9948,2,6174973,California & Presidio Ave,1,109,121438
9948,2,6174976,California & Presidio Ave,1,112,121438
9948,2,6174979,California & Presidio Ave,1,111,121438
9948,2,6174983,California & Presidio Ave,1,110,121438
9948,1,6174700,California & Presidio Ave,1,117,121438
9948,1,6174699,California & Presidio Ave,1,107,121438
9948,1,6174698,California & Presidio Ave,1,114,121438
9948,1,6174697,California & Presidio Ave,1,151,121438
9948,1,6174696,California & Presidio Ave,1,119,121438
9948,1,6174695,California & Presidio Ave,1,122,121438
9948,1,6174694,California & Presidio Ave,1,110,121438
9948,1,6174693,California & Presidio Ave,1,116,121438
9948,1,6174692,California & Presidio Ave,1,113,121438
9948,1,6174816,California & Presidio Ave,1,102,121438
9948,1,6174691,California & Presidio Ave,1,112,121438
9948,1,6174814,California & Presidio Ave,1,111,121438
9948,1,6174701,California & Presidio Ave,1,120,121438
9948,1,6174705,California & Presidio Ave,1,118,121438
9948,1,6174704,California & Presidio Ave,1,123,121438
9948,1,6174815,California & Presidio Ave,1,106,121438
9948,1,6174817,California & Presidio Ave,1,115,121438
9948,3,6175194,Downtown,1,108,121439
9948,3,6175195,Downtown,1,101,121439
9948,3,6175196,Downtown,1,106,121439
9948,3,6175197,Downtown,1,102,121439
9948,3,6175198,Downtown,1,108,121439
9948,3,6175199,Downtown,1,101,121439
9948,3,6175200,Downtown,1,106,121439
9948,3,6175201,Downtown,1,102,121439
9948,3,6175202,Downtown,1,108,121439
9948,3,6175203,Downtown,1,101,121439
9948,3,6175204,Downtown,1,106,121439
9948,3,6175205,Downtown,1,102,121439
9948,3,6175206,Downtown,1,108,121439
9948,3,6175207,Downtown,1,101,121439
9948,3,6175209,Downtown,1,106,121439
9948,3,6175210,Downtown,1,102,121439
9948,3,6175212,Downtown,1,108,121439
9948,3,6175213,Downtown,1,105,121439
9948,3,6175214,Downtown,1,101,121439
9948,3,6175216,Downtown,1,104,121439
9948,3,6175217,Downtown,1,103,121439
9948,3,6175218,Downtown,1,106,121439
9948,3,6175220,Downtown,1,102,121439
9948,3,6175221,Downtown,1,113,121439
9948,3,6175223,Downtown,1,108,121439
9948,3,6175224,Downtown,1,105,121439
9948,3,6175226,Downtown,1,101,121439
9948,3,6175227,Downtown,1,107,121439
9948,3,6175228,Downtown,1,104,121439
9948,3,6175230,Downtown,1,103,121439
9948,3,6175231,Downtown,1,106,121439
9948,3,6175232,Downtown,1,109,121439
9948,3,6175233,Downtown,1,102,121439
9948,3,6175234,Downtown,1,113,121439
9948,3,6175235,Downtown,1,112,121439
9948,3,6175236,Downtown,1,108,121439
9948,3,6175237,Downtown,1,105,121439
9948,3,6175238,Downtown,1,111,121439
9948,3,6175239,Downtown,1,101,121439
9948,3,6175240,Downtown,1,107,121439
9948,3,6175241,Downtown,1,104,121439
9948,3,6175242,Downtown,1,110,121439
9948,3,6175243,Downtown,1,103,121439
9948,3,6175244,Downtown,1,106,121439
9948,3,6175245,Downtown,1,109,121439
9948,3,6175246,Downtown,1,102,121439
9948,3,6175247,Downtown,1,113,121439
9948,3,6175272,Downtown,1,112,121439
9948,3,6175248,Downtown,1,108,121439
9948,3,6175249,Downtown,1,105,121439
9948,3,6175250,Downtown,1,111,121439
9948,3,6175251,Downtown,1,101,121439
9948,3,6175252,Downtown,1,107,121439
9948,3,6175253,Downtown,1,104,121439
9948,3,6175254,Downtown,1,110,121439
9948,3,6175255,Downtown,1,103,121439
9948,3,6175256,Downtown,1,106,121439
9948,3,6175257,Downtown,1,109,121439
9948,3,6175258,Downtown,1,102,121439
9948,3,6175260,Downtown,1,113,121439
9948,3,6175261,Downtown,1,112,121439
9948,3,6175262,Downtown,1,108,121439
9948,3,6175263,Downtown,1,105,121439
9948,3,6175264,Downtown,1,111,121439
9948,3,6175265,Downtown,1,101,121439
9948,3,6175266,Downtown,1,107,121439
9948,3,6175267,Downtown,1,104,121439
9948,3,6175268,Downtown,1,110,121439
9948,3,6175269,Downtown,1,103,121439
9948,3,6175270,Downtown,1,106,121439
9948,3,6175271,Downtown,1,109,121439
9948,3,6175273,Downtown,1,102,121439
9948,3,6175274,Downtown,1,113,121439
9948,3,6175275,Downtown,1,112,121439
9948,3,6175276,Downtown,1,108,121439
9948,3,6175277,Downtown,1,105,121439
9948,3,6175278,Downtown,1,111,121439
9948,3,6175279,Downtown,1,101,121439
9948,3,6175280,Downtown,1,107,121439
9948,3,6175281,Downtown,1,104,121439
9948,3,6175282,Downtown,1,110,121439
9948,3,6175283,Downtown,1,103,121439
9948,3,6175284,Downtown,1,106,121439
9948,3,6175285,Downtown,1,109,121439
9948,3,6175286,Downtown,1,102,121439
9948,3,6175287,Downtown,1,112,121439
9948,3,6175288,Downtown,1,108,121439
9948,3,6175289,Downtown,1,105,121439
9948,3,6175311,Downtown,1,111,121439
9948,3,6175310,Downtown,1,101,121439
9948,3,6175309,Downtown,1,107,121439
9948,3,6175290,Downtown,1,104,121439
9948,3,6175291,Downtown,1,110,121439
9948,3,6175292,Downtown,1,103,121439
9948,3,6175293,Downtown,1,106,121439
9948,3,6175294,Downtown,1,109,121439
9948,3,6175295,Downtown,1,102,121439
